player_id,player_name,player_team,role_classic,role_mantra,role_fantastats
7155,Muharemovic,Sassuolo,D,Dc,DC
5295,Musah,Atalanta,C,C;W,C;ES
7001,N'Dri,Lecce,A,W;A,ATT;ES
6505,Nava,Cremonese,P,Por,POR
7018,Nelsson,Verona,D,Dc,DC
7322,Ngom,Lecce,C,M;C,C
2271,Nicolas,Pisa,P,Por,POR
6827,Njie,Torino,A,A,ATT
5156,Nkounkou,Torino,D,Ds;E,T
7185,Nunziante,Udinese,P,Por,POR
5336,Nzola,Sassuolo,A,Pc,ATT
5701,Obert,Cagliari,D,Ds;Dc,DC;T
7329,Obrador,Torino,D,Ds;E,T
6538,Onana J.,Genoa,C,M;C,C
6314,Openda,Juventus,A,Pc,ATT
6552,Orban G.,Verona,A,Pc,ATT
7138,Ordonez C.,Parma,C,M;C,C
6218,Oristanio,Parma,C,W;T;A,ATT;ES;Tq
6977,Otoa,Genoa,D,Dc,DC
6832,Palestra,Cagliari,D,E,T
7382,Pannozzo,Lazio,P,Por,POR
327,Patric,Lazio,D,Dd;Dc,DC;T
247,Pavoletti,Cagliari,A,Pc,ATT
6481,Payero,Cremonese,C,C,C
2489,Pedro,Lazio,A,A,ATT
7353,Pedro Felipe,Sassuolo,D,Dc,DC
7164,Perez M.,Lecce,D,Dd;Dc,DC;T
7172,Pessina Mas.,Bologna,P,Por,POR
7145,Piccinini G.,Pisa,C,E;M,C;T
7156,Pieragnolo,Sassuolo,D,Ds;E,T
6190,Pisilli,Roma,C,C,C
6424,Prati,Torino,C,M;C,C
2814,Provedel,Lazio,P,Por,POR
7345,Przyborek,Lazio,C,W;T,ES;Tq
6394,Ramadani,Lecce,C,M;C,C
6869,Ramon,Como,D,Dc,DC
7346,Raterink,Cagliari,D,Dd;E,T
2722,Ravaglia F.,Bologna,P,Por,POR
5338,Rinaldi,Parma,P,Por,POR
7129,Rodriguez Je.,Como,A,W;A,ATT;ES
7268,Rodriguez Ju.,Cagliari,D,Ds;Dc,DC;T
2279,Romagna,Sassuolo,D,Dc,DC
2297,Rossi F.,Atalanta,P,Por,POR
294,Rugani,Fiorentina,D,Dc,DC
791,Sabelli,Genoa,D,Dd;Ds;E,T
7246,Sala A.,Lecce,C,C,C
2127,Satalino,Sassuolo,P,Por,POR
6842,Sava,Udinese,P,Por,POR
4284,Sergi Roberto,Como,C,M;C,C
6650,Sherri,Cagliari,P,Por,POR
6991,Siegrist,Genoa,P,Por,POR
2211,Silvestri,Cremonese,P,Por,POR
7363,Siviero,Torino,P,Por,POR
5319,Sohm,Bologna,C,C,C
6380,Solomon,Fiorentina,A,W;A,ATT;ES
2428,Sommer,Inter,P,Por,POR
2839,Sottil,Lecce,C,W;A,ATT;ES
5734,Soulè,Roma,A,A,ATT
5561,Stengs,Pisa,C,W;T,ES;Tq
4486,Strefezza,Parma,C,W;A,ATT;ES
6024,Sulemana I.,Cagliari,C,M;C,C
6641,Suzuki,Parma,P,Por,POR
